id,easting,northing
7911010,532416.3,2376968.9
7911015,532268.3,2377319.5
7911020,532416.2,2376944.9
7911026,532267.8,2377268.7
7911029,532416.7,2376895
7911036,532268.3,2377243.7
7911039,532417.1,2376870.9
7911045,532266.9,2377193.4
7911049,532415.5,2376840.8
7911057,532415.3,2376820.4
7911063,532268.4,2377169.6
7911068,532416.6,2376792.5
7911072,532290.4,2377194
7911080,532417.4,2376741.3
7911081,532290,2377218.1
7911087,532416.9,2376719.6
7911093,532290,2377243.3
7911098,532416.9,2376668.9
7911103,532288.5,2377267.9
7911108,532416.2,2376645
7911116,532288.7,2377317.9
7911118,532416.6,2376616.9
7911128,532416.3,2376564.8
7911137,532417,2376543.2
7911148,532414.7,2376518
7911213,532441.7,2376496.6
7911222,532440.5,2376517.9
7911228,532441.5,2376545.9
7911237,532441.7,2376568.4
7911245,532442.1,2376595.7
7911255,532441.8,2376645
7911264,532441,2376669.5
7911276,532440.5,2376695.1
7911284,532442,2376719.9
7911294,532442.1,2376770
7911304,532441.1,2376822.7
7911315,532441.4,2376843.7
7911327,532441.7,2376870.1
7911335,532440.8,2376920.8
7911345,532441.1,2376943.8
7911355,532439.2,2376994.5
7911364,532442.8,2377019.6
7911372,532444.1,2377044
7911378,532440.1,2377072.4
7911390,532441.2,2377119.7
7911400,532441.6,2377143.2
7911411,532468.6,2377143.5
7911430,532467.1,2377093.2
7911436,532467.8,2377068.8
7911446,532466.7,2377042.1
7911457,532467.6,2376994.2
7911470,532467.8,2376969.5
7911481,532465.9,2376944.3
7911486,532318.1,2377294.1
7911489,532464.3,2376915.4
7911497,532317.9,2377267.9
7911500,532464.6,2376892.8
7911508,532319.3,2377243.4
7911514,532464.3,2376841.9
7911518,532318.7,2377218.5
7911525,532466.2,2376792.3
7911528,532318.7,2377169.3
7911533,532465.6,2376766.5
7911537,532342.2,2377170
7911542,532466.4,2376742.3
7911546,532343,2377193.8
7911552,532465.6,2376691.4
7911557,532339.6,2377243.3
7911560,532467.3,2376664.6
7911569,532467.7,2376644
7911571,532340.3,2377294.6
7911577,532466.5,2376617.6
7911582,532339.4,2377319.4
7911586,532466,2376592.6
7911597,532466.2,2376543.4
7911608,532464.7,2376491.4
7911676,532493.3,2376523.1
7911683,532490.1,2376546
7911694,532492.2,2376593.5
7911699,532490.6,2376619
7911707,532493.6,2376645.3
7911717,532491.8,2376673.2
7911726,532491.4,2376719.2
7911733,532493,2376748.3
7911744,532493,2376792.6
7911751,532492.1,2376817
7911759,532492.4,2376844.1
7911770,532492.8,2376896.2
7911779,532491.9,2376919.8
7911785,532494.1,2376946.1
7911800,532493,2376995.2
7911807,532492.5,2377019.1
7911812,532493,2377046.9
7911822,532493,2377070.9
7911833,532491.6,2377118.5
7911842,532490.4,2377145.4
7911857,532513.3,2377117.1
7911865,532517,2377089
7911874,532517.1,2377068.4
7911884,532516.1,2377020.3
7911894,532513.7,2376995.1
7911901,532515.6,2376968.6
7911910,532517.1,2376941
7911920,532514.4,2376916.5
7911933,532515,2376868.2
7911935,532367.3,2377317.1
7911942,532368.9,2377293.4
7911945,532514.2,2376819.4
7911953,532368.6,2377268.1
7911956,532515,2376791.2
7911964,532367.5,2377217.8
7911969,532519.8,2376769.1
7911974,532366.7,2377192.6
7911979,532517.2,2376744.2
7911982,532366.5,2377168.8
7911989,532514.2,2376717.3
7911997,532516.3,2376691.2
7911998,532392.9,2377195
7912005,532391.1,2377220.1
7912009,532515.8,2376619.2
7912015,532391.9,2377244.1
7912018,532513.7,2376590.7
7912023,532391.6,2377293.2
7912028,532514.7,2376567.5
7912034,532391.2,2377319.8
7912035,532515.9,2376542.5
7912047,532512.7,2376491
7912101,532540.5,2376493.6
7912110,532544.7,2376520.1
7912117,532543.6,2376545.6
7912126,532542.2,2376571.4
7912136,532542.8,2376620.8
7912143,532541.2,2376647.4
7912151,532542.4,2376673.3
7912158,532540.1,2376694.6
7912168,532538.9,2376720.4
7912179,532542.8,2376767.9
7912190,532542.8,2376818.8
7912197,532542.4,2376843.7
7912205,532541.9,2376869.5
7912213,532543,2376894.4
7912221,532541.7,2376917.1
7912232,532542.2,2376968.1
7912241,532542.6,2376996
7912250,532543.1,2377042.2
7912261,532542.3,2377070.2
7912269,532541.9,2377095.1
7912277,532541.7,2377143
7912287,532566.6,2377138.9
7912298,532564.8,2377117.7
7912304,532564.7,2377090.7
7912312,532565.8,2377048.1
7912321,532567.2,2377018.1
7912333,532563.6,2376969.8
7912341,532567.4,2376941.6
7912346,532416.6,2377318.8
7912351,532567.2,2376892.5
7912359,532417.4,2377242.6
7912364,532566.9,2376867.4
7912371,532565.3,2376844.5
7912377,532415.1,2377169.5
7912382,532564.9,2376793.8
7912391,532565.7,2376768.1
7912392,532415.6,2377219.3
7912400,532565.6,2376744
7912404,532415.8,2377269.4
7912410,532567.6,2376691.3
7912418,532566.9,2376666.9
7912426,532563.8,2376641.2
7912437,532566.1,2376591.9
7912446,532566.1,2376569.7
7912454,532566.8,2376543.4
7912462,532566.7,2376518.4
7912469,532564.6,2376492.1
7913645,532441.7,2377317.7
7913656,532442.1,2377293.6
7913664,532442.9,2377269.3
7913673,532442.7,2377243.7
7913683,532441.6,2377193.8
7913692,532442.5,2377169.3
7913698,532466.1,2377171.7
7913706,532465.5,2377192.6
7913717,532466.2,2377220.2
7913729,532464.2,2377269.3
7913739,532464.6,2377294.5
7914933,532491.1,2377318.7
7914943,532490.4,2377294.5
7914963,532489,2377244.2
7914975,532490.3,2377194.8
7914984,532491.1,2377170.1
7914998,532515.9,2377192.4
7915006,532516.8,2377218.9
7915015,532516.9,2377241.6
7915024,532515.2,2377268.4
7915035,532515.7,2377318.9
7915910,532540.5,2377319.3
7915918,532540.7,2377294.8
7915926,532540.9,2377269.5
7915938,532540.6,2377219.5
7915946,532540.9,2377193
7915953,532540.8,2377170.8
7915971,532565.8,2377167.4
7915985,532565.8,2377218.4
7915992,532566.2,2377243.1
7915999,532566.1,2377268.6
7916007,532566.1,2377294.3
7916388,532590.6,2377319.6
7916399,532591.8,2377270.6
7916409,532589.4,2377243.7
7916417,532589.9,2377219.3
7916428,532589.9,2377170.3
7916437,532590.8,2377144.1
7916445,532591.7,2377119.6
7916452,532591,2377069.5
7916463,532592.7,2377019.2
7916471,532592.2,2376993.8
7916475,532590.5,2376969.6
7916486,532589.5,2376918
7916494,532589.7,2376893.4
7916503,532590.8,2376867.9
7916517,532589.8,2376819
7916526,532589.4,2376794.4
7916534,532591.1,2376768.9
7916545,532591.2,2376745.5
7916555,532591.1,2376717.5
7916565,532591.4,2376694.8
7916573,532590.8,2376668.7
7916583,532589.5,2376643.5
7916592,532589.2,2376620.1
7916598,532590.4,2376594.5
7916607,532591.3,2376570.2
7916617,532590.8,2376543
7916624,532590.5,2376519.9
7916633,532591.2,2376495
7916644,532592.1,2376469.3
7920321,532698.1,2376488.2
7920333,532725.2,2376513.4
